,Player,From,To,Price_m,Year
49,Ignasi MiguelJan,Lugo,Malaga,0.5,2016
73,Mitchell Langerak,Stuttgart,Levante,0.8,2016
75,Emre Mor,Bor. Dortmund,Celta Vigo,13.0,2016
79,Ousmane Dembele,Bor. Dortmund,Barcelona,105.0,2016
82,Gabriel Paulista,Arsenal,Valencia,11.0,2016
89,Paulinho,Guangzhou Evergrande,Barcelona,40.0,2016
91,Naldo,Krasnodar,Espanyol,2.0,2016
94,Ryad Boudebouz,Montpellier,Real Betis,7.0,2016
96,Ezequiel Munoz,Genoa,Leganes,2.5,2016
97,Ivi,Sevilla Atletico,Levante,1.2,2016
99,Cheick Doukoure,Metz,Levante,1.6,2016
100,Diego Gonzales,Sevilla Atletico,Malaga,2.0,2016
103,Rodrigo Ely,AC Milan,Alaves,3.0,2016
109,Emmanuel Cecchini,Banfield,Malaga,4.0,2016
112,Zouhair Feddal,Alaves,Real Betis,2.5,2016
115,Pablo Fornals,Malaga,Villarreal,12.0,2016
118,Filip Manojloic,Red Star,Getafe,1.25,2016
119,Fabian Schar,Hoffenheim,Deportivo La Coruna,4.0,2016
121,Jorge Mere,Sporting Gijon,Koln,7.0,2016
124,Paulo Oliveira,Sporting CP,Eibar,3.5,2016
125,Enis Bardhi,Ujpest FC,Levante,1.5,2016
126,Nolito,Manchester City,Sevilla,9.0,2016
130,Dani Ceballos,Real Betis,Real Madrid,17.0,2016
131,Sebastian Corchia,Lille,Sevilla,5.0,2016
132,Nelson Semedo,Benfica,Barcelona,30.0,2016
135,Adnan Januzaj,Manchester United,Real Sociedad,8.5,2016
136,Vitolo,Sevilla,Atletico Madrid,36.0,2016
140,Guido Pizarro,Tigres,Sevilla,6.0,2016
141,Luis Muriel,Sampdoria,Sevilla,20.0,2016
142,Andres Guardado,PSV,Real Betis,2.0,2016
145,Neto,Juventus,Valencia,7.0,2016
147,Jordan Amavi,Aston Villa,Sevilla,8.0,2016
150,Bruno Gonzales,Real Betis,Getafe,0.6,2016
153,Jozabed Sanchez,Fulham,Celta Vigo,3.5,2016
155,Theo Hernandez,Atletico Madrid,Real Madrid,30.0,2016
161,Maximiliano Lopez,Defensor,Celta Vigo,4.0,2016
163,Pablo Piatti,Valencia,Espanyol,1.3,2016
164,Andres Fernandez,FC Porto,Villarreal ,2.0,2016
165,Fabian Orellana,Celta Vigo,Valencia,3.0,2016
167,Yoel Rodriguez,Valencia,Eibar,0.75,2016
168,Marko Dmitrovic,Alcoron,Eibar,1.0,2016
169,Ruben Duarte,Espanyol,Alaves ,0.4,2016
170,Tito,Granada,Leganes,0.6,2016
171,Oier Olazabal,Granada,Levante,0.2,2016
174,Chuli,Almeria,Getafe,0.7,2016
175,Victor Camarasa,Levante,Real Betis,7.0,2016
178,Guilherme,Udinese,Deportivo La Coruna,4.5,2016
180,Dani Pacheco,Real Betis,Getafe,1.0,2016
181,Francisco Portillo,Real Betis,Getafe,1.5,2016
182,Cristian Tello,Barcelona,Real Betis,4.0,2016
183,Ever Banega,Inter Milan,Sevilla ,9.0,2016
185,Gerard Deulofeu,Everton,Barcelona,12.0,2016
186,Enes Unal,Manchester City,Villarreal,14.0,2016
187,Sergio Leon,Osasuna,Real Betis,3.5,2016
188,Simone Zaza,Juventus,Valencia,16.0,2016
191,Dimitrios Siovas,Olympiacos,Leganes ,3.0,2016
192,Diego Llorente,Real Madrid,Real Sociedad ,6.0,2016
193,Ruben Semedo,Sporting CP,Villarreal,14.0,2016
196,Alvaro Jimenez,Real Madrid,Getafe,1.0,2016
43,Quincy Promes,Spartak Moscow,Sevilla,18.0,2017
44,Recio,Malaga,Leganes,1.35,2017
