,Player,From,To,Price,Price_,Price_m,Year
43,Nahki Wells,Huddersfield,Burnley,5.4,5.4,5.4,2016
44,Ezequiel Schelotto,Sporting CP,Brighton,3,3.0,3.0,2016
46,Marvin Zeegelaar,Sporting CP,Watford,3,3.0,3.0,2016
48,Nikola Vlasic,Hajduk Split,Everton,8.6,8.6,8.6,2016
50,Serge Aurier,PSG,Tottenham,25,25.0,25.0,2016
51,Alex Oxlade-Chamberlain,Arsenal,Liverpool,38,38.0,38.0,2016
52,Danny Drinkwater,Leicester City,Chelsea,38,38.0,38.0,2016
54,Wilfried Bony,Manchester City,Swansea,13,13.0,13.0,2016
55,Mamadou Sakho,Liverpool,Crystal Palace,29,29.0,29.0,2016
56,Fernando Llorente,Swansea,Tottenham,15,15.0,15.0,2016
57,Davide Zappacosta,Torino,Chelsea,28,28.0,28.0,2016
59,Kieran Gibbs,Arsenal,West Brom,7.5,7.5,7.5,2016
61,Juan Foyth,Estudiantes,Tottenham,8.8,8.8,8.8,2016
62,Kevin Wimmer,Tottenham,Stoke City,19.5,19.5,19.5,2016
65,Oliver Burke,RB Leipzig,West Bromwich,16.3,16.3,16.3,2016
69,Wesley Hoedt,Lazio,Southampton,17,17.0,17.0,2016
70,Chris Wood,Leeds,Burnley,16.4,16.4,16.4,2016
71,Davinson Sanchez,Ajax,Tottenham,46,46.0,46.0,2016
72,Joselu,Stoke City,Newcastle,5.5,5.5,5.5,2016
73,Gylfi Sigurdsson,Swansea,Everton,50,50.0,50.0,2016
75,Jose Izquierdo,Club Brugge,Brighton,16,16.0,16.0,2016
77,Bruno Martins Indi,FC Porto,Stoke City,7.7,7.7,7.7,2016
79,Andre Gray,Burnley,Watford,20,20.0,20.0,2016
81,Davy Propper,PSV,Brighton,13,13.0,13.0,2016
82,Mario Lemina,Juventus,Southampton,17,17.0,17.0,2016
83,Richarlison,Fluminense,Watford,12.4,12.4,12.4,2016
86,Sead Haksabanovic,Halmstad,West Ham,3,3.0,3.0,2016
87,Kelechi Iheanacho,Manchester City,Leicester City,27.7,27.7,27.7,2016
88,Nemanja Matic,Chelsea,Manchester United,44.7,44.7,44.7,2016
90,Phil Bardsley,Stoke City,Burnley,"840,000",840000.0,0.84,2016
92,Benjamin Mendy,AS Monaco,Manchester City ,50,50.0,50.0,2016
93,Javier Hernandez,Bayer Leverkusen,West Ham,17.8,17.8,17.8,2016
94,Jairo Riedewald,Ajax,Crystal Palace,9,9.0,9.0,2016
95,Danilo,Real Madrid,Manchester City,30,30.0,30.0,2016
96,Marko Arnautovic,Stoke City,West Ham,27.9,27.9,27.9,2016
97,Javier Manquillo,Atletico Madrid,Newcastle United,5,5.0,5.0,2016
98,Alvaro Morata,Real Madrid,Chelsea,65.5,65.5,65.5,2016
