,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Year,From,To,Price
10,11,Francesco Acerbi,ITA,DF,Sassuolo,Serie A,29,1988,38,38,"3,420",38.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.8,2.4,0.04,0.02,0.06,0.04,0.06,2017,Sassuolo,Lazio,9
11,12,Afriyie Acquah,GHA,MF,Torino,Serie A,25,1992,22,9,951,10.6,1,0,1,0,0,4,2,0.09,0.00,0.09,0.09,0.09,0.6,0.6,0.1,0.7,0.06,0.01,0.07,0.06,0.07,2017,Torino,Empoli,"900,000"
23,24,Benik Afobe,COD,FW,Bournemouth,Premier League,24,1993,17,5,611,6.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.1,1.3,0.21,0.01,0.22,0.21,0.22,2017,Bournemouth,Wolves,14.2
29,30,Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,23,1994,35,35,"3,006",33.4,5,0,5,0,0,4,0,0.15,0.00,0.15,0.15,0.15,3.0,3.0,0.6,3.6,0.09,0.02,0.11,0.09,0.11,2017,Strasbourg,AS Monaco,12.6
58,59,Alisson,BRA,GK,Roma,Serie A,24,1992,37,37,"3,330",37.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017,AS Roma,Liverpool,75
74,75,Jordi Amat,ESP,DF,Betis,La Liga,25,1992,25,24,"2,045",22.7,0,0,0,0,0,7,2,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.5,0.02,0.00,0.02,0.02,0.02,2017,Swansea,Rayo Vallecano,"900,000"
85,86,Felipe Anderson,BRA,MF,Lazio,Serie A,24,1993,21,9,"1,162",12.9,4,6,4,0,0,0,0,0.31,0.46,0.77,0.31,0.77,2.1,2.1,4.0,6.1,0.16,0.31,0.47,0.16,0.47,2017,Lazio,West Ham United,34.2
86,87,Florin Andone,ROU,FW,La Coruña,La Liga,24,1993,29,16,"1,636",18.2,7,3,7,0,1,6,0,0.39,0.17,0.55,0.39,0.55,10.9,10.1,1.0,11.1,0.60,0.06,0.65,0.56,0.61,2017,Deportivo La Coruna,Brighton,6
107,108,Mauro Arambarri,URU,MF,Getafe,La Liga,21,1995,27,26,"2,124",23.6,1,1,1,0,0,9,1,0.04,0.04,0.08,0.04,0.08,1.3,1.3,0.9,2.2,0.06,0.04,0.09,0.06,0.09,2017,Boston River,Getafe,1.94
200,201,Antonio Barreca,ITA,DF,Torino,Serie A,22,1995,9,3,468,5.2,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.07,0.07,0.00,0.07,2017,Torino,Monaco,10.8
